ID,Name,Description,FDN_EntityType
1040,1040,Form 1040 is an IRS tax form used for personal federal income tax returns filed by United States residents.,Individual
1042,1042,"The tax withheld under chapter 3 on certain income of foreign persons, including nonresident aliens.",Individual
1042-S,1042-S,The IRS 1040 form is one of the official documents that U.S. taxpayers use to file their annual income tax return.,Individual
1065,1065,Partnerships use Schedule B-1 Form 1065 to provide information applicable to certain entities.,Organization
1099,1099,Form 1099 is one of several IRS tax forms used in the United States to prepare and file an information return to report various types of income other than wages salaries and tips.,Individual
1120,1120,Use Form 1120 U.S. Corporation Income Tax Return to report the income,Organization
1120-F,1120-F,Use Form 1120-F to report the income,Organization
1120-S,1120-S,Use Form 1120-S to report the income,Organization
114,114,Form 114 Report of Foreign Bank and Financial Accounts FBAR,Organization
5471,5471,Form 5471 officially called the Information Return of U.S. Persons with Respect to Certain Foreign Corporations,Organization
8621,8621,Tax form 8621 is used to report income from foreign mutual funds also referred to as passive foreign investment companies PFICs.,Individual
8804,8804,Annual Return for Partnership Withholding Tax Section 1446. The withholding tax liability of the partnership for its tax year is reported on Form 8804.,Organization
8805,8805,used to show the amount of effectively connected taxable income and any withholding tax payments allocable to a foreign partner for the partnerships tax year,Organization
8858,8858,About Form 8858 Information Return of U.S. Persons With Respect to Foreign Disregarded Entities FDEs and Foreign Branches FBs,Organization
8865,8865,Use Form 8865 to report the information required under section 6038.,Organization
8886,8886,Use Form 8886 to disclose information for each reportable transaction in which you participated.,Organization
990-PF,990-PF,Form 990-PF is used to figure the tax based on investment income and to report charitable distributions and activities.,Organization
Declaration Form,Declaration Form,The Economic Substance Act 2018 the Act1 requires Bermuda-based entities that are carrying on a ?relevant activity? in a relevant financial period and entities claiming ?non-resident entity? status under the Act to file an Economic Substance Declaration Form a Declaration Form with the Bermuda Registrar of Companies the Registrar. Such Declaration Form must be filed annually within six months of the last day of the entity?s financial year which means an entity with a financial year-end of 31 December 2020 will be required to file its completed Declaration Form by 30 June 2021.,Organization
FATCA,FATCA,The Foreign Account Tax Compliance Act FATCA,Organization
