STAGE_NAME_ID,STAGE_NAME,STAGE_DESCRIPTION
Prospecting,Prospecting,Prospecting
Needs Analysis,Needs Analysis,Needs Analysis
Value Proposition,Value Proposition,Value Proposition
Perception Analysis,Perception Analysis,Perception Analysis
Proposal/Price Quote,Proposal/Price Quote,Proposal/Price Quote
Negotiation/Review,Negotiation/Review,Negotiation/Review
Qualification,Qualification,Qualification
Id. Decision Makers,Id. Decision Makers,Id. Decision Makers
Closed Won,Closed Won,Closed Won
Closed Lost,Closed Lost,Closed Lost
