"EmploymentID","SourceID_IndividualPerson","EmployerName","JobTitle","StartDate","EndDate","EmploymentType","Salary","Country","IsCurrent","PublisherID_IndividualPerson"
"EMP0001","PERS0001","Acme Corp","Engineer","01-01-2010","","Full-Time","80000","USA","TRUE","ERP"
"EMP0002","PERS0002","Globex Inc","Teacher","01-09-2015","","Full-Time","50000","UK","TRUE","ERP"
"EMP0003","PERS0003","Initech Ltd","Analyst","01-06-2012","01-06-2018","Contract","60000","Canada","FALSE","ERP"
"EMP0004","PERS0004","Stark Industries","Designer","01-11-2016","","Full-Time","70000","Australia","TRUE","ERP"
"EMP0005","PERS0005","Wayne Enterprises","Manager","01-03-2008","01-03-2015","Part-Time","90000","USA","FALSE","ERP"
"EMP0006","PERS0006","Oscorp","Consultant","01-01-2017","","Full-Time","75000","UK","TRUE","ERP"
"EMP0007","PERS0007","LexCorp","Developer","01-04-2013","","Full-Time","85000","Canada","TRUE","ERP"
"EMP0008","PERS0008","Wonka Industries","Accountant","01-01-2019","","Full-Time","65000","Australia","TRUE","ERP"
"EMP0009","PERS0009","Tyrell Corp","Doctor","01-07-2011","01-07-2017","Contract","120000","USA","FALSE","ERP"
"EMP0010","PERS0010","Gringotts Bank","Lawyer","01-05-2014","","Full-Time","95000","UK","TRUE","ERP"
"EMP0011","PERS0011","Acme Corp","Architect","01-02-2011","","Full-Time","82000","Canada","TRUE","ERP"
"EMP0012","PERS0012","Globex Inc","Scientist","01-03-2012","","Full-Time","78000","Australia","TRUE","ERP"
"EMP0013","PERS0013","Initech Ltd","Writer","01-04-2013","","Full-Time","60000","USA","TRUE","ERP"
"EMP0014","PERS0014","Stark Industries","Artist","01-05-2014","","Full-Time","70000","UK","TRUE","ERP"
"EMP0015","PERS0015","Wayne Enterprises","Chef","01-06-2015","","Full-Time","65000","Canada","TRUE","ERP"
"EMP0016","PERS0016","Oscorp","Pharmacist","01-07-2016","","Full-Time","72000","Australia","TRUE","ERP"
"EMP0017","PERS0017","LexCorp","Plumber","01-08-2017","","Full-Time","54000","USA","TRUE","ERP"
"EMP0018","PERS0018","Wonka Industries","Engineer","01-09-2018","","Full-Time","81000","UK","TRUE","ERP"
"EMP0019","PERS0019","Tyrell Corp","Teacher","01-10-2019","","Full-Time","50000","Canada","TRUE","ERP"
"EMP0020","PERS0020","Gringotts Bank","Analyst","01-11-2020","","Full-Time","69000","Australia","TRUE","ERP"
"EMP0021","PERS0021","Acme Corp","Designer","21-02-2011","","Full-Time","82000","USA","TRUE","ERP"
"EMP0022","PERS0022","Globex Inc","Manager","22-03-2012","","Full-Time","78000","UK","TRUE","ERP"
"EMP0023","PERS0023","Initech Ltd","Consultant","23-04-2013","","Full-Time","60000","Canada","TRUE","ERP"
"EMP0024","PERS0024","Stark Industries","Developer","24-05-2014","","Full-Time","70000","Australia","TRUE","ERP"
"EMP0025","PERS0025","Wayne Enterprises","Accountant","25-06-2015","","Full-Time","65000","USA","TRUE","ERP"
"EMP0026","PERS0026","Oscorp","Doctor","26-07-2016","","Full-Time","72000","UK","TRUE","ERP"
"EMP0027","PERS0027","LexCorp","Lawyer","27-08-2017","","Full-Time","54000","Canada","TRUE","ERP"
"EMP0028","PERS0028","Wonka Industries","Architect","28-09-2018","","Full-Time","81000","Australia","TRUE","ERP"
"EMP0029","PERS0029","Tyrell Corp","Scientist","29-10-2019","","Full-Time","50000","USA","TRUE","ERP"
"EMP0030","PERS0030","Gringotts Bank","Writer","30-11-2020","","Full-Time","69000","UK","TRUE","ERP"
"EMP0031","PERS0031","Acme Corp","Artist","28-02-2011","","Full-Time","82000","Canada","TRUE","ERP"
"EMP0032","PERS0032","Globex Inc","Chef","28-03-2012","","Full-Time","78000","Australia","TRUE","ERP"
"EMP0033","PERS0033","Initech Ltd","Pharmacist","28-04-2013","","Full-Time","60000","USA","TRUE","ERP"
"EMP0034","PERS0034","Stark Industries","Plumber","28-05-2014","","Full-Time","70000","UK","TRUE","ERP"
"EMP0035","PERS0035","Wayne Enterprises","Engineer","28-06-2015","","Full-Time","65000","Canada","TRUE","ERP"
"EMP0036","PERS0036","Oscorp","Teacher","28-07-2016","","Full-Time","72000","Australia","TRUE","ERP"
"EMP0037","PERS0037","LexCorp","Analyst","28-08-2017","","Full-Time","54000","USA","TRUE","ERP"
"EMP0038","PERS0038","Wonka Industries","Designer","28-09-2018","","Full-Time","81000","UK","TRUE","ERP"
"EMP0039","PERS0039","Tyrell Corp","Manager","28-10-2019","","Full-Time","50000","Canada","TRUE","ERP"
"EMP0040","PERS0040","Gringotts Bank","Consultant","28-11-2020","","Full-Time","69000","Australia","TRUE","ERP"
"EMP0041","PERS0041","Acme Corp","Developer","28-02-2011","","Full-Time","82000","USA","TRUE","ERP"
"EMP0042","PERS0042","Globex Inc","Accountant","28-03-2012","","Full-Time","78000","UK","TRUE","ERP"
"EMP0043","PERS0043","Initech Ltd","Doctor","28-04-2013","","Full-Time","60000","Canada","TRUE","ERP"
"EMP0044","PERS0044","Stark Industries","Lawyer","28-05-2014","","Full-Time","70000","Australia","TRUE","ERP"
"EMP0045","PERS0045","Wayne Enterprises","Architect","28-06-2015","","Full-Time","65000","USA","TRUE","ERP"
"EMP0046","PERS0046","Oscorp","Scientist","28-07-2016","","Full-Time","72000","UK","TRUE","ERP"
"EMP0047","PERS0047","LexCorp","Writer","28-08-2017","","Full-Time","54000","Canada","TRUE","ERP"
"EMP0048","PERS0048","Wonka Industries","Artist","28-09-2018","","Full-Time","81000","Australia","TRUE","ERP"
"EMP0049","PERS0049","Tyrell Corp","Chef","28-10-2019","","Full-Time","50000","USA","TRUE","ERP"
"EMP0050","PERS0050","Gringotts Bank","Pharmacist","28-11-2020","","Full-Time","69000","UK","TRUE","ERP"
"EMP0051","PERS0051","Acme Corp","Plumber","28-02-2011","","Full-Time","82000","Canada","TRUE","ERP"
"EMP0052","PERS0052","Globex Inc","Engineer","28-03-2012","","Full-Time","78000","Australia","TRUE","ERP"
"EMP0053","PERS0053","Initech Ltd","Teacher","28-04-2013","","Full-Time","60000","USA","TRUE","ERP"
"EMP0054","PERS0054","Stark Industries","Analyst","28-05-2014","","Full-Time","70000","UK","TRUE","ERP"
"EMP0055","PERS0055","Wayne Enterprises","Designer","28-06-2015","","Full-Time","65000","Canada","TRUE","ERP"
"EMP0056","PERS0056","Oscorp","Manager","28-07-2016","","Full-Time","72000","Australia","TRUE","ERP"
"EMP0057","PERS0057","LexCorp","Consultant","28-08-2017","","Full-Time","54000","USA","TRUE","ERP"
"EMP0058","PERS0058","Wonka Industries","Developer","28-09-2018","","Full-Time","81000","UK","TRUE","ERP"
"EMP0059","PERS0059","Tyrell Corp","Accountant","28-10-2019","","Full-Time","50000","Canada","TRUE","ERP"
"EMP0060","PERS0060","Gringotts Bank","Doctor","28-11-2020","","Full-Time","69000","Australia","TRUE","ERP"
